id,n_victimas,fecha,hora,tipo_de_calle,dirección normalizada,comuna,longitud,latitud,victima_1,acusado,dia_semana,rol,victima_2,sexo,edad
2020-0025,1,2020-05-12,5,avenida,rivadavia av. 2551,3,-58.40258477,-34.60975108,peaton,auto,martes,peaton,peaton,masculino,0
2020-0026,1,2020-05-17,6,autopista,,14,,,moto,objeto fijo,domingo,conductor,moto,masculino,28
2020-0027,1,2020-05-18,8,avenida,"dellepiane, luis, tte. gral. y montiel",8,-58.48267426,-34.68454456,peaton,cargas,lunes,peaton,peaton,masculino,76
2020-0028,1,2020-05-19,10,avenida,"scalabrini ortiz, raul av. y warnes av.",15,-58.44248936,-34.60221948,peaton,pasajeros,martes,peaton,peaton,masculino,91
2020-0029,1,2020-06-10,14,autopista,"paz, gral. av. y roffo, angel h., dr.",9,-58.52909134,-34.63886726,peaton,pasajeros,miércoles,peaton,peaton,masculino,80
2020-0030,1,2020-06-16,15,avenida,san martin av. 1550,6,-58.45158942,-34.6064658,moto,multiple,martes,conductor,moto,masculino,40
2020-0031,1,2020-06-30,8,avenida,"garzon, eugenio, gral. av. y larraya",9,-58.49344309,-34.65788529,moto,cargas,martes,conductor,moto,masculino,29
2020-0032,1,2020-07-10,23,avenida,corrientes av. y serrano,15,-58.44259166,-34.59635137,moto,auto,viernes,conductor,moto,masculino,21
2020-0033,1,2020-07-19,6,autopista,"paz, gral. av. y del libertador av.",13,-58.46743471,-34.53476874,auto,objeto fijo,domingo,conductor,auto,masculino,32
2020-0034,1,2020-08-02,3,calle,"mitre, bartolome y anchorena, tomas manuel de, dr.",3,-58.41178158,-34.60922259,peaton,auto,domingo,peaton,peaton,femenino,0
2020-0035,1,2020-08-04,5,autopista,autopista 25 de mayo y pumacahua,7,-58.45068621,-34.63638927,moto,pasajeros,martes,conductor,moto,masculino,40
2020-0036,1,2020-08-07,18,avenida,"scalabrini ortiz, raul av. y paraguay",14,-58.42016954,-34.5877879,peaton,moto,viernes,peaton,peaton,masculino,72
2020-0037,1,2020-08-29,4,avenida,"fernandez de la cruz, f., gral. av. y varela av.",8,-58.43850413,-34.65554754,peaton,auto,sábado,peaton,peaton,masculino,38
2020-0038,2,2020-08-30,4,avenida,"las heras general av. y diaz, cnel. av.",14,-58.40617526,-34.58345898,auto,auto,domingo,conductor,auto,masculino,46
2020-0038,2,2020-08-30,4,avenida,"las heras general av. y diaz, cnel. av.",14,-58.40617526,-34.58345898,auto,auto,domingo,conductor,auto,masculino,64
2020-0039,1,2020-09-01,19,calle,murguiondo,9,,,peaton,cargas,martes,peaton,peaton,masculino,44
2020-0040,1,2020-09-12,3,avenida,"castillo, ramon s., pres. av. y calle 12 (no oficial)",2,-58.38526125,-34.5780581,auto,objeto fijo,sábado,conductor,auto,masculino,0
2020-0041,1,2020-09-28,1,avenida,"curapaligue y peron, eva av.",7,-58.4475047,-34.63491705,moto,pasajeros,lunes,conductor,moto,masculino,34
2020-0042,1,2020-09-29,17,avenida,"diaz, ana y soldado de la frontera av.",8,-58.46745752,-34.68192648,peaton,pasajeros,martes,peaton,peaton,femenino,53
